No,JobCode,BannerCode,TotalRevision
1,2014/1/1,SNL01-100,0
2,2014/1/2,EMB01-100,0
3,2014/1/3,EMB02-100,0
4,2014/1/4,EMB03-100,0
5,2014/1/5,EMB02-100,0
6,2014/1/6,SNL01-100,0
7,2014/1/7,SNL02-100,0
8,2014/1/8,SNL02-100,0
9,2014/1/9,SNL02-100,0
10,2014/1/10,CMB02-100,0
11,2014/1/11,CMB02-100,0
12,2014/1/12,CMB02-100,1
13,2014/1/12,CMB02-100,1
14,2014/1/13,EMB02-300,0
15,2014/1/14,EMB02-300,0
16,2014/1/15,EMB02-300,0
17,2014/1/16,EMB02-300,0
18,2014/1/17,EMB02-100,0
19,2014/1/18,CMB01-100,1
20,2014/1/18,CMB01-100,1
21,2014/1/19,CMB01-100,1
22,2014/1/19,CMB01-100,1
23,2014/1/20,CMB01-100,0
24,2014/1/21,CMB01-100,1
25,2014/1/21,CMB01-100,1
26,2014/1/22,CMB01-100,1
27,2014/1/22,CMB01-100,1
28,2014/1/23,CMB01-100,2
29,2014/1/23,CMB01-100,2
30,2014/1/23,CMB01-100,2
31,2014/1/24,CMB01-100,0
32,2014/1/25,EMB02-100,2
33,2014/1/25,EMB02-100,2
34,2014/1/25,EMB02-100,2
35,2014/1/26,PROMO-PAGE,2
36,2014/1/26,PROMO-PAGE,2
37,2014/1/26,PROMO-PAGE,2
38,2014/1/27,CMB01-100,1
39,2014/1/27,CMB01-100,1
40,2014/1/28,CMB01-100,0
41,2014/1/29,CMB02-100,0
42,2014/1/30,CMB02-100,0
43,2014/1/31,CMB02-100,0
44,2014/1/32,CMB01-100,2
45,2014/1/32,CMB01-100,2
46,2014/1/32,CMB01-100,2
47,2014/1/33,CMB01-100,0
48,2014/1/34,CMB01-100,0
49,2014/1/35,CMB01-100,1
50,2014/1/35,CMB01-100,1
51,2014/1/36,CMB01-100,1
52,2014/1/36,CMB01-100,1
53,2014/1/37,CMB01-100,0
54,2014/1/38,CMB01-100,0
55,2014/1/39,CMB01-100,1
56,2014/1/39,CMB01-100,1
57,2014/1/40,CMB01-100,0
58,2014/1/41,CMB01-100,1
59,2014/1/41,CMB01-100,1
60,2014/1/42,CMB01-100,0
61,2014/1/43,CMB01-100,0
62,2014/1/44,CMB01-100,0
63,2014/1/45,EMB02-300,1
64,2014/1/45,EMB02-300,1
65,2014/1/46,CMB01-100,0
66,2014/1/47,CMB01-100,1
67,2014/1/47,CMB01-100,1
